,States and selected areas:  Employment status,"of the civilian noninstitutional population, January 1976 to date,"
25601,"Los Angeles County .......     7,833,779","4,928,915      62.9     4,412,206      56.3      516,709     10.5"
25602,"Colorado ....................     4,013,910","2,766,298      68.9     2,554,638      63.6      211,660      7.7"
25603,"Connecticut .................     2,849,466","1,878,778      65.9     1,721,522      60.4      157,256      8.4"
25604,"Delaware ....................       721,378","444,940      61.7       412,600      57.2       32,340      7.3"
25605,"District of Columbia ........       530,708","372,198      70.1       339,705      64.0       32,493      8.7"
25606,"Florida .....................    15,505,071","9,432,438      60.8     8,663,920      55.9      768,518      8.1"
25607,"Georgia .....................     7,501,626","4,791,998      63.9     4,369,522      58.2      422,476      8.8"
25608,"Hawaii ......................     1,067,806","645,403      60.4       610,281      57.2       35,122      5.4"
25609,"Idaho .......................     1,197,270","769,801      64.3       717,144      59.9       52,657      6.8"
25610,"Illinois ....................    10,005,653","6,599,251      66.0     6,007,289      60.0      591,962      9.0"
25611,"Indiana .....................     5,041,728","3,172,520      62.9     2,908,732      57.7      263,788      8.3"
25612,"Iowa ........................     2,394,089","1,653,077      69.0     1,570,981      65.6       82,096      5.0"
25613,"Kansas ......................     2,177,224","1,487,079      68.3     1,403,867      64.5       83,212      5.6"
25614,"Kentucky ....................     3,394,813","2,069,503      61.0     1,901,055      56.0      168,448      8.1"
25615,"Louisiana ...................     3,509,099","2,085,197      59.4     1,945,682      55.4      139,515      6.7"
25616,"Maine .......................     1,083,119","703,508      65.0       652,278      60.2       51,230      7.3"
25617,"Maryland ....................     4,613,343","3,129,327      67.8     2,912,948      63.1      216,379      6.9"
25618,"Massachusetts ...............     5,368,293","3,501,337      65.2     3,266,628      60.9      234,709      6.7"
25619,"Michigan ....................     7,803,173","4,684,580      60.0     4,261,214      54.6      423,366      9.0"
25620,"Minnesota ...................     4,194,839","2,955,833      70.5     2,792,315      66.6      163,518      5.5"
25621,"Mississippi .................     2,256,456","1,307,510      57.9     1,190,608      52.8      116,902      8.9"
25622,"Missouri ....................     4,675,965","3,028,386      64.8     2,821,739      60.3      206,647      6.8"
25623,"Montana .....................       793,175","508,529      64.1       479,170      60.4       29,359      5.8"
25624,"Nebraska ....................     1,413,986","1,018,741      72.0       978,283      69.2       40,458      4.0"
25625,"Nevada ......................     2,132,184","1,379,538      64.7     1,232,349      57.8      147,189     10.7"
25626,"New Hampshire ...............     1,070,720","743,310      69.4       702,080      65.6       41,230      5.5"
25627,"New Jersey ..................     6,957,590","4,597,516      66.1     4,169,473      59.9      428,043      9.3"
25628,"New Mexico ..................     1,595,704","929,564      58.3       864,022      54.1       65,542      7.1"
25629,"New York ....................    15,590,736","9,645,555      61.9     8,845,696      56.7      799,859      8.3"
25630,"New York city ............     6,706,615","4,034,676      60.2     3,669,303      54.7      365,373      9.1"
25631,"North Carolina ..............     7,529,109","4,709,793      62.6     4,280,257      56.8      429,536      9.1"
25632,"North Dakota ................       547,538","400,894      73.2       388,519      71.0       12,375      3.1"
25633,"Ohio ........................     9,033,396","5,703,560      63.1     5,288,767      58.5      414,793      7.3"
25634,"Oklahoma ....................     2,902,453","1,812,407      62.4     1,717,573      59.2       94,834      5.2"
25635,"Oregon ......................     3,106,274","1,933,900      62.3     1,766,539      56.9      167,361      8.7"
25636,"Pennsylvania ................    10,165,833","6,492,311      63.9     5,978,763      58.8      513,548      7.9"
25637,"Rhode Island ................       848,816","558,715      65.8       503,422      59.3       55,293      9.9"
25638,"South Carolina ..............     3,667,695","2,188,992      59.7     1,998,136      54.5      190,856      8.7"
25639,"South Dakota ................       633,835","443,337      69.9       424,686      67.0       18,651      4.2"
25640,"Tennessee ...................     5,033,189","3,106,890      61.7     2,867,305      57.0      239,585      7.7"
25641,"Texas .......................    19,436,468","12,738,355      65.5    11,915,952      61.3      822,403      6.5"
25642,"Utah ........................     2,036,254","1,382,469      67.9     1,311,679      64.4       70,790      5.1"
25643,"Vermont .....................       511,654","354,098      69.2       337,000      65.9       17,098      4.8"
25644,"Virginia ....................     6,338,690","4,230,738      66.7     3,981,872      62.8      248,866      5.9"
25645,"Washington ..................     5,398,895","3,466,906      64.2     3,200,714      59.3      266,192      7.7"
25646,"West Virginia ...............     1,487,923","808,673      54.3       747,207      50.2       61,466      7.6"
25647,"Wisconsin ...................     4,488,166","3,075,396      68.5     2,863,615      63.8      211,781      6.9"
25648,"Wyoming .....................       445,577","306,980      68.9       290,753      65.3       16,227      5.3"
25649,,
25650,,
25651,,November 2012
25652,,
25653,,
25654,"Alabama .....................     3,753,518","2,181,645      58.1     2,014,832      53.7      166,813      7.6"
25655,"Alaska ......................       536,361","365,360      68.1       339,883      63.4       25,477      7.0"
25656,"Arizona .....................     5,036,590","3,029,541      60.2     2,788,907      55.4      240,634      7.9"
25657,"Arkansas ....................     2,270,919","1,326,628      58.4     1,227,266      54.0       99,362      7.5"
25658,"California ..................    29,435,706","18,605,146      63.2    16,786,723      57.0    1,818,423      9.8"
25659,"Los Angeles County .......     7,839,477","4,935,698      63.0     4,421,635      56.4      514,063     10.4"
25660,"Colorado ....................     4,020,120","2,768,164      68.9     2,558,745      63.6      209,419      7.6"
25661,"Connecticut .................     2,850,498","1,875,155      65.8     1,719,640      60.3      155,515      8.3"
25662,"Delaware ....................       722,128","444,605      61.6       412,320      57.1       32,285      7.3"
25663,"District of Columbia ........       531,625","373,663      70.3       341,013      64.1       32,650      8.7"
25664,"Florida .....................    15,525,337","9,441,024      60.8     8,680,395      55.9      760,629      8.1"
25665,"Georgia .....................     7,508,643","4,790,509      63.8     4,370,629      58.2      419,880      8.8"
25666,"Hawaii ......................     1,068,846","645,533      60.4       611,255      57.2       34,278      5.3"
25667,"Idaho .......................     1,198,622","769,414      64.2       717,778      59.9       51,636      6.7"
25668,"Illinois ....................    10,009,257","6,597,998      65.9     6,001,762      60.0      596,236      9.0"
25669,"Indiana .....................     5,044,603","3,176,648      63.0     2,910,893      57.7      265,755      8.4"
25670,"Iowa ........................     2,395,477","1,654,247      69.1     1,572,489      65.6       81,758      4.9"
25671,"Kansas ......................     2,178,104","1,488,233      68.3     1,404,914      64.5       83,319      5.6"
25672,"Kentucky ....................     3,396,987","2,070,146      60.9     1,902,389      56.0      167,757      8.1"
25673,"Louisiana ...................     3,511,203","2,088,848      59.5     1,947,834      55.5      141,014      6.8"
25674,"Maine .......................     1,083,375","703,960      65.0       653,061      60.3       50,899      7.2"
25675,"Maryland ....................     4,616,690","3,132,092      67.8     2,916,116      63.2      215,976      6.9"
25676,"Massachusetts ...............     5,373,124","3,504,465      65.2     3,268,252      60.8      236,213      6.7"
25677,"Michigan ....................     7,806,321","4,691,792      60.1     4,267,199      54.7      424,593      9.0"
25678,"Minnesota ...................     4,197,790","2,958,006      70.5     2,796,171      66.6      161,835      5.5"
25679,"Mississippi .................     2,257,512","1,302,896      57.7     1,186,901      52.6      115,995      8.9"
